date,Google weekly
28/02/2016,3
06/03/2016,3
13/03/2016,3
20/03/2016,3
27/03/2016,3
03/04/2016,2
10/04/2016,3
17/04/2016,3
24/04/2016,3
01/05/2016,4
08/05/2016,3
15/05/2016,3
22/05/2016,3
29/05/2016,4
05/06/2016,4
12/06/2016,5
19/06/2016,5
26/06/2016,4
03/07/2016,4
10/07/2016,3
17/07/2016,3
24/07/2016,3
31/07/2016,4
07/08/2016,3
14/08/2016,3
21/08/2016,3
28/08/2016,3
04/09/2016,3
11/09/2016,3
18/09/2016,3
25/09/2016,3
02/10/2016,3
09/10/2016,3
16/10/2016,3
23/10/2016,3
30/10/2016,3
06/11/2016,4
13/11/2016,4
20/11/2016,4
27/11/2016,4
04/12/2016,4
11/12/2016,4
18/12/2016,5
25/12/2016,5
01/01/2017,7
08/01/2017,6
15/01/2017,5
22/01/2017,4
29/01/2017,5
05/02/2017,5
12/02/2017,5
19/02/2017,5
26/02/2017,6
05/03/2017,7
12/03/2017,6
19/03/2017,6
26/03/2017,5
02/04/2017,5
09/04/2017,5
16/04/2017,5
23/04/2017,5
30/04/2017,7
07/05/2017,10
14/05/2017,12
21/05/2017,19
28/05/2017,13
04/06/2017,13
11/06/2017,14
18/06/2017,12
25/06/2017,12
02/07/2017,10
09/07/2017,11
16/07/2017,12
23/07/2017,11
30/07/2017,14
06/08/2017,14
13/08/2017,20
20/08/2017,16
27/08/2017,17
03/09/2017,18
10/09/2017,21
17/09/2017,16
24/09/2017,13
01/10/2017,13
08/10/2017,18
15/10/2017,19
22/10/2017,20
29/10/2017,27
05/11/2017,26
12/11/2017,29
19/11/2017,26
26/11/2017,58
03/12/2017,86
10/12/2017,80
17/12/2017,93
24/12/2017,61
31/12/2017,47
07/01/2018,44
14/01/2018,54
21/01/2018,38
28/01/2018,39
04/02/2018,44
11/02/2018,28
18/02/2018,23
25/02/2018,19
04/03/2018,19
11/03/2018,19
18/03/2018,18
25/03/2018,17
01/04/2018,17
08/04/2018,16
15/04/2018,14
22/04/2018,15
29/04/2018,13
06/05/2018,13
13/05/2018,11
20/05/2018,12
27/05/2018,11
03/06/2018,10
10/06/2018,12
17/06/2018,10
24/06/2018,10
01/07/2018,10
08/07/2018,9
15/07/2018,11
22/07/2018,12
29/07/2018,10
05/08/2018,11
12/08/2018,11
19/08/2018,10
26/08/2018,10
02/09/2018,11
09/09/2018,10
16/09/2018,9
23/09/2018,9
30/09/2018,9
07/10/2018,9
14/10/2018,9
21/10/2018,8
28/10/2018,8
04/11/2018,8
11/11/2018,10
18/11/2018,14
25/11/2018,14
02/12/2018,11
09/12/2018,11
16/12/2018,12
23/12/2018,10
30/12/2018,9
06/01/2019,9
13/01/2019,8
20/01/2019,7
27/01/2019,7
03/02/2019,8
10/02/2019,7
17/02/2019,9
24/02/2019,8
03/03/2019,7
10/03/2019,7
17/03/2019,7
24/03/2019,7
31/03/2019,12
07/04/2019,10
14/04/2019,9
21/04/2019,10
28/04/2019,9
05/05/2019,12
12/05/2019,20
19/05/2019,14
26/05/2019,15
02/06/2019,13
09/06/2019,11
16/06/2019,17
23/06/2019,27
30/06/2019,18
07/07/2019,17
14/07/2019,17
21/07/2019,14
28/07/2019,13
04/08/2019,15
11/08/2019,13
18/08/2019,12
25/08/2019,38
01/09/2019,100
08/09/2019,58
15/09/2019,53
22/09/2019,34
29/09/2019,10
06/10/2019,10
13/10/2019,9
20/10/2019,11
27/10/2019,11
03/11/2019,9
10/11/2019,9
17/11/2019,10
24/11/2019,10
01/12/2019,9
08/12/2019,9
15/12/2019,10
22/12/2019,9
29/12/2019,9
05/01/2020,11
12/01/2020,12
19/01/2020,10
26/01/2020,11
02/02/2020,11
09/02/2020,13
16/02/2020,12
23/02/2020,11
01/03/2020,11
08/03/2020,20
15/03/2020,21
22/03/2020,16
29/03/2020,13
05/04/2020,13
12/04/2020,13
19/04/2020,12
26/04/2020,17
03/05/2020,18
10/05/2020,22
17/05/2020,15
24/05/2020,13
31/05/2020,13
07/06/2020,12
14/06/2020,11
21/06/2020,11
28/06/2020,10
05/07/2020,10
12/07/2020,12
19/07/2020,11
26/07/2020,17
02/08/2020,16
09/08/2020,14
16/08/2020,13
23/08/2020,12
30/08/2020,12
06/09/2020,12
13/09/2020,10
20/09/2020,10
27/09/2020,9
04/10/2020,9
11/10/2020,10
18/10/2020,14
25/10/2020,14
01/11/2020,16
08/11/2020,17
15/11/2020,23
22/11/2020,25
29/11/2020,22
06/12/2020,17
13/12/2020,29
20/12/2020,28
27/12/2020,41
03/01/2021,67
10/01/2021,67
17/01/2021,42
24/01/2021,39
31/01/2021,35
07/02/2021,60
14/02/2021,59
